SigU,SigV,SigW,SigT,ustar,wT,ui,vi,V,CD,Tstar,Tavg,L,z_L2,norm_sigU,norm_sigV,norm_sigV,norm_sigT
1.290,1.060,0.415,0.811,0.3130,0.129,1.110,0.963,1.940,0.026,0.412,33.333,-18.586,0.215,4.121,3.387,1.326,1.969
1.420,1.040,0.402,0.949,0.3220,0.142,1.150,1.050,1.980,0.027,0.441,34.083,-18.436,0.217,4.410,3.230,1.248,2.152
1.680,0.766,0.373,0.826,0.3020,0.118,1.770,0.762,2.150,0.020,0.390,33.679,-18.313,0.218,5.563,2.536,1.235,2.118
1.210,1.090,0.435,0.786,0.3010,0.118,0.233,1.880,2.250,0.018,0.391,33.770,-18.138,0.221,4.020,3.621,1.445,2.009
1.050,1.160,0.381,0.797,0.2820,0.097,0.812,1.120,1.850,0.023,0.344,32.259,-18.011,0.222,3.723,4.113,1.351,2.317
1.110,0.873,0.412,0.723,0.2870,0.103,0.650,2.010,2.310,0.016,0.359,31.967,-17.850,0.224,3.868,3.042,1.436,2.013
0.754,0.797,0.334,0.420,0.2200,0.047,0.453,1.560,1.820,0.015,0.215,31.960,-17.523,0.228,3.427,3.623,1.518,1.954
0.818,0.677,0.349,0.567,0.2250,0.051,0.456,1.790,1.980,0.013,0.225,29.809,-17.415,0.230,3.636,3.009,1.551,2.522
0.836,0.823,0.393,0.538,0.2490,0.069,0.548,1.690,1.960,0.016,0.279,28.845,-17.139,0.233,3.357,3.305,1.578,1.931
1.190,1.060,0.446,0.879,0.2930,0.116,0.466,2.190,2.510,0.014,0.395,35.915,-17.115,0.234,4.061,3.618,1.522,2.223
0.912,1.070,0.369,0.722,0.2680,0.088,1.190,1.390,2.110,0.016,0.327,31.470,-17.093,0.234,3.403,3.993,1.377,2.211
1.840,0.611,0.397,0.836,0.3070,0.133,1.710,0.342,2.000,0.024,0.434,33.173,-16.958,0.236,5.993,1.990,1.293,1.925
1.100,1.070,0.426,0.759,0.2840,0.110,0.732,1.610,2.120,0.018,0.387,34.991,-16.389,0.244,3.873,3.768,1.500,1.962
1.570,0.745,0.357,0.952,0.3080,0.140,1.340,0.472,1.760,0.031,0.455,33.254,-16.283,0.246,5.097,2.419,1.159,2.091
0.987,1.150,0.404,0.842,0.2800,0.109,0.610,1.590,2.040,0.019,0.389,35.100,-15.837,0.253,3.525,4.107,1.443,2.163
1.430,0.836,0.390,0.730,0.2780,0.107,1.810,1.090,2.320,0.014,0.386,33.936,-15.682,0.255,5.144,3.007,1.403,1.890
1.260,0.986,0.352,0.946,0.2990,0.138,0.912,0.596,1.690,0.031,0.461,32.301,-15.125,0.264,4.214,3.298,1.177,2.053
1.260,0.986,0.352,0.946,0.2990,0.138,0.912,0.596,1.690,0.031,0.460,32.100,-15.123,0.264,4.214,3.298,1.177,2.054
0.851,0.613,0.306,0.732,0.2630,0.097,0.660,0.483,1.240,0.045,0.369,30.892,-14.536,0.275,3.236,2.331,1.163,1.984
1.660,0.741,0.370,0.886,0.2800,0.118,1.590,0.596,1.990,0.020,0.421,32.057,-14.508,0.276,5.929,2.646,1.321,2.105
0.550,0.555,0.295,0.396,0.2030,0.045,0.344,1.370,1.530,0.018,0.221,30.342,-14.423,0.277,2.709,2.734,1.453,1.791
1.170,0.801,0.367,0.854,0.2970,0.141,0.895,0.599,1.520,0.038,0.476,31.463,-14.415,0.277,3.939,2.697,1.236,1.797
1.280,1.090,0.400,0.856,0.2970,0.143,1.090,0.956,1.940,0.023,0.481,34.071,-14.378,0.278,4.310,3.670,1.347,1.781
1.510,0.680,0.389,0.846,0.2920,0.135,1.450,0.456,1.800,0.026,0.463,32.422,-14.364,0.278,5.171,2.329,1.332,1.828
0.812,0.654,0.251,0.380,0.1920,0.038,0.713,0.650,1.200,0.025,0.200,30.355,-14.302,0.280,4.229,3.406,1.307,1.904
1.660,0.516,0.374,0.866,0.2910,0.138,1.470,0.015,1.720,0.029,0.475,31.600,-13.850,0.289,5.704,1.773,1.285,1.821
1.660,0.516,0.374,0.866,0.2910,0.138,1.470,0.015,1.720,0.029,0.474,30.369,-13.843,0.289,5.704,1.773,1.285,1.828
1.100,0.916,0.415,0.800,0.2720,0.117,0.499,1.850,2.170,0.016,0.430,31.820,-13.387,0.299,4.044,3.368,1.526,1.861
1.400,0.664,0.339,0.716,0.2550,0.098,1.600,0.670,1.920,0.018,0.384,31.523,-13.163,0.304,5.490,2.604,1.329,1.865
0.875,0.846,0.354,0.518,0.2070,0.054,0.194,1.960,2.160,0.009,0.260,31.492,-12.811,0.312,4.227,4.087,1.710,1.993
1.270,0.746,0.351,0.840,0.2570,0.110,1.060,0.530,1.580,0.027,0.428,34.021,-12.101,0.331,4.942,2.903,1.366,1.964
0.981,1.010,0.389,0.830,0.2680,0.126,0.670,1.350,1.920,0.020,0.469,32.482,-11.951,0.335,3.660,3.769,1.451,1.770
1.030,1.500,0.436,0.880,0.2680,0.130,0.525,1.390,2.060,0.017,0.485,32.686,-11.561,0.346,3.843,5.597,1.627,1.816
1.000,1.000,0.390,0.735,0.2590,0.118,0.123,1.670,2.020,0.016,0.455,34.400,-11.556,0.346,3.861,3.861,1.506,1.614
1.000,1.000,0.390,0.735,0.2590,0.117,0.123,1.670,2.020,0.016,0.452,31.443,-11.541,0.347,3.861,3.861,1.506,1.628
1.510,0.760,0.411,0.936,0.2650,0.134,1.160,0.470,1.680,0.025,0.506,35.262,-10.920,0.366,5.698,2.868,1.551,1.850
0.512,0.644,0.272,0.366,0.1740,0.039,0.013,0.904,1.110,0.024,0.222,30.864,-10.570,0.378,2.943,3.701,1.563,1.646
0.584,0.538,0.235,0.520,0.1920,0.053,0.684,0.680,1.130,0.029,0.275,29.917,-10.363,0.386,3.042,2.802,1.224,1.891
1.000,0.836,0.364,0.688,0.2090,0.071,0.485,1.710,1.980,0.011,0.340,34.957,-10.103,0.396,4.785,4.000,1.742,2.023
1.000,0.836,0.364,0.688,0.2090,0.071,0.485,1.710,1.980,0.011,0.339,33.800,-10.097,0.396,4.785,4.000,1.742,2.030
0.692,0.726,0.276,0.543,0.2040,0.066,0.463,0.831,1.250,0.027,0.326,32.193,-9.954,0.402,3.392,3.559,1.353,1.667
0.972,0.959,0.374,0.952,0.2710,0.158,0.142,0.912,1.590,0.029,0.585,33.196,-9.817,0.407,3.587,3.539,1.380,1.629
1.430,0.574,0.359,0.852,0.2580,0.140,1.160,0.329,1.520,0.029,0.544,32.578,-9.547,0.419,5.543,2.225,1.391,1.567
0.931,0.837,0.332,0.854,0.2310,0.103,0.591,0.590,1.420,0.026,0.446,33.008,-9.343,0.428,4.030,3.623,1.437,1.915
1.260,0.444,0.329,0.546,0.2000,0.071,1.030,0.163,1.290,0.024,0.355,33.900,-8.815,0.454,6.300,2.220,1.645,1.535
1.260,0.444,0.329,0.546,0.2000,0.071,1.030,0.163,1.290,0.024,0.354,32.302,-8.809,0.454,6.300,2.220,1.645,1.542
1.580,0.615,0.398,0.867,0.2530,0.143,1.270,0.116,1.760,0.021,0.566,29.595,-8.741,0.458,6.245,2.431,1.573,1.532
1.280,0.442,0.304,0.520,0.1880,0.060,1.050,0.017,1.340,0.020,0.320,30.642,-8.561,0.467,6.809,2.351,1.617,1.625
0.660,0.618,0.258,0.391,0.1520,0.033,0.152,1.180,1.350,0.013,0.215,30.089,-8.312,0.481,4.342,4.066,1.697,1.820
0.668,0.530,0.281,0.550,0.1850,0.061,0.333,1.420,1.550,0.014,0.328,30.207,-8.086,0.495,3.611,2.865,1.519,1.681
0.561,0.494,0.268,0.470,0.1610,0.041,0.289,1.130,1.280,0.016,0.255,30.790,-7.893,0.507,3.484,3.068,1.665,1.848
1.010,0.831,0.330,0.885,0.2240,0.114,0.491,1.080,1.540,0.021,0.510,33.009,-7.680,0.521,4.509,3.710,1.473,1.734
0.635,0.549,0.271,0.783,0.2110,0.095,0.463,0.499,0.940,0.051,0.452,31.902,-7.672,0.521,3.009,2.602,1.284,1.733
1.480,0.642,0.338,0.783,0.2250,0.116,1.110,0.301,1.610,0.020,0.516,31.358,-7.621,0.525,6.578,2.853,1.502,1.517
1.940,0.678,0.412,0.830,0.2390,0.140,1.750,0.308,2.110,0.013,0.588,30.603,-7.534,0.531,8.117,2.837,1.724,1.412
0.857,0.772,0.276,0.379,0.1590,0.042,0.612,0.452,1.210,0.017,0.261,30.479,-7.499,0.533,5.390,4.855,1.736,1.452
0.475,0.400,0.226,0.542,0.1620,0.047,0.108,0.881,0.984,0.027,0.287,29.658,-7.053,0.567,2.932,2.469,1.395,1.885
0.962,0.337,0.264,0.648,0.1920,0.084,0.564,0.105,0.990,0.038,0.435,31.853,-6.588,0.607,5.010,1.755,1.375,1.487
0.922,0.486,0.274,0.474,0.1710,0.062,0.540,0.191,1.130,0.023,0.365,32.645,-6.247,0.640,5.392,2.842,1.602,1.299
0.684,0.641,0.284,0.685,0.1840,0.077,0.417,0.756,1.130,0.026,0.419,29.494,-6.238,0.641,3.717,3.484,1.543,1.634
1.460,0.621,0.374,0.909,0.2240,0.141,1.200,0.249,1.590,0.020,0.630,33.712,-6.236,0.641,6.518,2.772,1.670,1.442
1.470,0.529,0.357,0.798,0.2010,0.101,1.250,0.082,1.580,0.016,0.504,31.270,-6.220,0.643,7.313,2.632,1.776,1.582
1.090,0.861,0.387,0.949,0.2100,0.117,0.459,1.410,1.800,0.014,0.557,32.229,-6.170,0.648,5.190,4.100,1.843,1.704
1.150,0.413,0.296,0.793,0.2110,0.120,0.896,0.085,1.150,0.034,0.571,31.786,-6.068,0.659,5.450,1.957,1.403,1.390
0.665,0.645,0.316,0.565,0.1610,0.059,0.144,1.240,1.410,0.013,0.364,31.749,-5.543,0.722,4.130,4.006,1.963,1.553
0.437,0.395,0.204,0.530,0.1560,0.053,0.194,0.219,0.720,0.047,0.342,30.467,-5.507,0.726,2.801,2.532,1.308,1.547
1.190,0.715,0.347,0.865,0.2050,0.124,0.911,0.301,1.560,0.017,0.604,31.688,-5.408,0.740,5.805,3.488,1.693,1.431
1.550,0.558,0.389,0.889,0.2120,0.150,1.340,0.202,1.710,0.015,0.707,32.242,-4.954,0.807,7.311,2.632,1.835,1.257
0.814,0.689,0.283,0.744,0.1570,0.066,0.691,0.547,1.230,0.016,0.420,34.825,-4.612,0.867,5.185,4.389,1.803,1.771
0.579,0.601,0.254,0.775,0.1760,0.095,0.066,0.486,0.969,0.033,0.541,32.587,-4.464,0.896,3.290,3.415,1.443,1.432
1.010,0.439,0.272,0.893,0.1710,0.088,0.827,0.125,1.100,0.024,0.512,31.672,-4.443,0.900,5.906,2.567,1.591,1.746
1.190,1.180,0.402,0.822,0.1810,0.112,0.880,1.430,2.090,0.008,0.617,34.111,-4.163,0.961,6.575,6.519,2.221,1.333
1.520,0.560,0.399,1.010,0.2060,0.188,1.110,0.056,1.590,0.017,0.912,35.500,-3.665,1.091,7.379,2.718,1.937,1.107
1.520,0.560,0.399,1.010,0.2060,0.188,1.110,0.056,1.590,0.017,0.911,35.313,-3.665,1.091,7.379,2.718,1.937,1.108
