SigU,SigV,SigW,SigT,ustar,wT,ui,vi,V,L,z_L1,CD,Tstar,norm_sigU,norm_sigV,norm_sigW,norm_sigT,Tavg,L,z_L2
0.266,0.230,0.120,0.146,0.083,0.000,-0.362,0.344,0.559,117.000,0.023,0.022,0.000,3.220,2.785,1.453,-341.920,28.757,1228.316,0.002
1.880,1.270,0.552,0.393,0.512,-0.010,-1.660,1.120,2.600,98.700,0.027,0.039,-0.020,3.672,2.480,1.078,-19.749,29.433,1014.671,0.003
1.040,0.751,0.372,0.185,0.247,-0.004,-0.042,1.720,1.870,33.400,0.080,0.017,-0.015,4.211,3.040,1.506,-12.333,32.267,316.141,0.008
0.531,0.205,0.131,0.145,0.118,-0.001,-0.620,0.240,0.732,23.700,0.113,0.026,-0.004,4.500,1.737,1.110,-33.565,28.867,247.958,0.011
0.417,0.348,0.124,0.157,0.086,0.000,-0.320,0.315,0.623,22.800,0.118,0.019,-0.002,4.843,4.042,1.440,-65.966,28.735,239.534,0.011
0.787,0.577,0.332,0.142,0.236,-0.004,-0.038,1.640,1.750,25.000,0.107,0.018,-0.018,3.335,2.445,1.407,-7.845,32.018,238.280,0.011
0.580,0.504,0.245,0.160,0.196,-0.003,-0.296,1.150,1.280,19.000,0.141,0.023,-0.016,2.959,2.571,1.250,-9.756,31.884,181.774,0.015
0.202,0.263,0.091,0.203,0.065,0.000,-0.227,0.353,0.484,6.340,0.423,0.018,-0.005,3.122,4.065,1.405,-42.827,28.200,67.751,0.040
0.498,0.185,0.133,0.183,0.120,-0.002,-0.623,0.221,0.707,6.170,0.434,0.029,-0.017,4.150,1.542,1.108,-10.702,28.723,64.846,0.041
0.294,0.266,0.103,0.183,0.079,-0.001,-0.313,0.575,0.716,5.460,0.491,0.012,-0.008,3.726,3.371,1.305,-21.995,28.659,57.500,0.047
0.294,0.444,0.118,0.248,0.071,-0.001,-0.178,0.457,0.675,3.680,0.728,0.011,-0.010,4.141,6.254,1.662,-24.078,29.372,37.903,0.071
0.425,0.156,0.105,0.159,0.077,-0.001,-0.555,0.251,0.641,2.510,1.068,0.014,-0.017,5.556,2.039,1.373,-9.298,28.820,26.299,0.102
0.278,0.204,0.086,0.179,0.052,0.000,-0.294,0.371,0.527,2.310,1.160,0.010,-0.009,5.336,3.916,1.641,-20.481,29.163,23.946,0.112
0.262,0.305,0.102,0.259,0.070,-0.001,-0.195,0.312,0.484,2.270,1.181,0.021,-0.017,3.764,4.382,1.466,-15.602,30.647,22.502,0.119
0.232,0.306,0.096,0.231,0.071,-0.002,-0.187,0.427,0.568,1.500,1.787,0.016,-0.026,3.272,4.316,1.348,-9.059,29.892,15.207,0.176
0.325,0.549,0.126,0.482,0.089,-0.004,-0.161,0.330,0.671,1.260,2.127,0.018,-0.049,3.648,6.162,1.414,-9.918,30.266,12.631,0.212
0.200,0.218,0.100,0.164,0.055,-0.002,-0.057,0.411,0.467,0.860,3.116,0.014,-0.028,3.630,3.956,1.809,-5.942,30.663,8.521,0.315
0.328,0.221,0.094,0.265,0.053,-0.003,-0.290,0.275,0.493,0.379,7.071,0.012,-0.054,6.189,4.170,1.779,-4.898,28.570,4.003,0.670
0.394,0.210,0.095,0.240,0.042,-0.002,-0.419,0.411,0.630,0.369,7.263,0.004,-0.036,9.471,5.048,2.293,-6.630,30.371,3.688,0.727
